         685164 function calls (671689 primitive calls) in 0.511 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 backend_tools.py:753(ConfigureSubplotsBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:760(SaveFigureBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:768(ZoomPanBase)
        1    0.000    0.000    0.000    0.000 backend_tools.py:832(ToolZoom)
        1    0.000    0.000    0.000    0.000 backend_tools.py:958(ToolPan)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        1    0.000    0.000    0.023    0.023 basic.py:1(<module>)
  204/167    0.000    0.000    0.000    0.000 basic.py:121(__hash__)
        9    0.000    0.000    0.000    0.000 basic.py:130(_hashable_content)
        3    0.000    0.000    0.000    0.000 basic.py:1695(_exec_constructor_postprocessors)
        2    0.000    0.000    0.000    0.000 basic.py:170(compare)
        6    0.000    0.000    0.000    0.000 basic.py:1714(<genexpr>)
        1    0.000    0.000    0.000    0.000 basic.py:1731(Atom)
        1    0.000    0.000    0.000    0.000 basic.py:1852(preorder_traversal)
        1    0.000    0.000    0.000    0.000 basic.py:29(Basic)
      6/4    0.000    0.000    0.000    0.000 basic.py:297(__eq__)
        1    0.000    0.000    0.000    0.000 basic.py:343(__ne__)
      3/1    0.000    0.000    0.000    0.000 basic.py:494(free_symbols)
      3/1    0.000    0.000    0.000    0.000 basic.py:507(<listcomp>)
       32    0.000    0.000    0.000    0.000 basic.py:656(args)
      230    0.000    0.000    0.000    0.000 basic.py:96(__new__)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:13(BdbQuit)
        1    0.000    0.000    0.000    0.000 bdb.py:17(Bdb)
        1    0.000    0.000    0.000    0.000 bdb.py:642(Breakpoint)
        1    0.000    0.000    0.000    0.000 bdb.py:840(Tdb)
        2    0.000    0.000    0.003    0.001 bessel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bessel.py:1021(airyai)
        1    0.000    0.000    0.000    0.000 bessel.py:1187(airybi)
        1    0.000    0.000    0.000    0.000 bessel.py:1357(airyaiprime)
        1    0.000    0.000    0.000    0.000 bessel.py:1509(airybiprime)
        1    0.000    0.000    0.000    0.000 bessel.py:213(bessely)
        1    0.000    0.000    0.000    0.000 bessel.py:292(besseli)
        1    0.000    0.000    0.000    0.000 bessel.py:31(BesselBase)
        4    0.000    0.000    0.000    0.000 bessel.py:385(c_memo)
        1    0.000    0.000    0.000    0.000 bessel.py:392(besselk)
        1    0.000    0.000    0.000    0.000 bessel.py:476(hankel1)
        1    0.000    0.000    0.000    0.000 bessel.py:519(hankel2)
        6    0.000    0.000    0.000    0.000 bessel.py:563(assume_integer_order)
        1    0.000    0.000    0.000    0.000 bessel.py:571(SphericalBesselBase)
        1    0.000    0.000    0.000    0.000 bessel.py:615(jn)
        1    0.000    0.000    0.000    0.000 bessel.py:688(yn)
        1    0.000    0.000    0.000    0.000 bessel.py:751(SphericalHankelBase)
        1    0.000    0.000    0.000    0.000 bessel.py:807(hn1)
        1    0.000    0.000    0.000    0.000 bessel.py:860(hn2)
        1    0.000    0.000    0.000    0.000 bessel.py:87(besselj)
        1    0.000    0.000    0.000    0.000 bessel.py:983(AiryBase)
        1    0.000    0.000    0.000    0.000 beta_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 beta_functions.py:10(beta)
        1    0.000    0.000    0.000    0.000 bezier.py:11(NonIntersectingPathException)
        1    0.000    0.000    0.000    0.000 bezier.py:147(BezierSegment)
        1    0.000    0.000    0.000    0.000 bezier.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bivariate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:100(BlockingMouseInput)
        1    0.000    0.000    0.000    0.000 blocking_input.py:20(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:267(BlockingContourLabeler)
        1    0.000    0.000    0.000    0.000 blocking_input.py:30(BlockingInput)
        1    0.000    0.000    0.000    0.000 blocking_input.py:326(BlockingKeyMouseInput)
        1    0.000    0.000    0.001    0.001 blockmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blockmatrix.py:197(BlockDiagMatrix)
        1    0.000    0.000    0.000    0.000 blockmatrix.py:21(BlockMatrix)
        1    0.000    0.000    0.000    0.000 boolalg.py:1007(Equivalent)
        1    0.000    0.000    0.000    0.000 boolalg.py:1080(ITE)
        1    0.000    0.000    0.000    0.000 boolalg.py:169(BooleanAtom)
        1    0.000    0.000    0.000    0.000 boolalg.py:221(BooleanTrue)
        1    0.000    0.000    0.002    0.002 boolalg.py:3(<module>)
        4    0.000    0.000    0.000    0.000 boolalg.py:318(__hash__)
        1    0.000    0.000    0.000    0.000 boolalg.py:335(BooleanFalse)
       19    0.000    0.000    0.000    0.000 boolalg.py:376(__nonzero__)
       30    0.000    0.000    0.000    0.000 boolalg.py:406(<lambda>)
        1    0.000    0.000    0.000    0.000 boolalg.py:408(BooleanFunction)
        1    0.000    0.000    0.000    0.000 boolalg.py:495(And)
        1    0.000    0.000    0.000    0.000 boolalg.py:55(Boolean)
        1    0.000    0.000    0.000    0.000 boolalg.py:550(Or)
        1    0.000    0.000    0.000    0.000 boolalg.py:603(Not)
        1    0.000    0.000    0.000    0.000 boolalg.py:733(Xor)
        1    0.000    0.000    0.000    0.000 boolalg.py:834(Nand)
        1    0.000    0.000    0.000    0.000 boolalg.py:863(Nor)
        1    0.000    0.000    0.000    0.000 boolalg.py:897(Xnor)
        1    0.000    0.000    0.000    0.000 boolalg.py:928(Implies)
        1    0.000    0.000    0.000    0.000 bsplines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:28(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cProfile.py:27(Profile)
        1    0.000    0.000    0.000    0.000 cProfile.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cache.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cache.py:182(_getenv)
        1    0.000    0.000    0.000    0.000 cache.py:6(_cache)
        1    0.000    0.000    0.000    0.000 cache.py:65(__cacheit)
       88    0.000    0.000    0.001    0.000 cache.py:86(func_wrapper)
    60/52    0.000    0.000    0.001    0.000 cache.py:91(wrapper)
        2    0.000    0.000    0.000    0.000 calculus.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calculus.py:1(CalculusMethods)
       24    0.000    0.000    0.000    0.000 calculus.py:4(defun)
        1    0.000    0.000    0.000    0.000 calculus.py:5(MatrixCalculusMethods)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:160(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:128(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1333(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1355(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:137(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1413(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:184(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:221(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:278(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:297(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:341(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:398(__init__)
        6    0.000    0.000    0.000    0.000 case.py:430(addTypeEqualityFunc)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        1    0.000    0.000    0.000    0.000 category.py:109(StrCategoryLocator)
        1    0.000    0.000    0.000    0.000 category.py:12(<module>)
        1    0.000    0.000    0.000    0.000 category.py:127(StrCategoryFormatter)
        1    0.000    0.000    0.000    0.000 category.py:156(UnitData)
        1    0.000    0.000    0.000    0.000 category.py:23(StrCategoryConverter)
        1    0.000    0.000    0.006    0.006 ccode.py:12(<module>)
        4    0.000    0.000    0.000    0.000 ccode.py:139(_as_macro_if_defined)
        1    0.000    0.000    0.000    0.000 ccode.py:158(C89CodePrinter)
        1    0.000    0.000    0.000    0.000 ccode.py:622(_C9XCodePrinter)
        1    0.000    0.000    0.000    0.000 ccode.py:638(CCodePrinter)
        1    0.000    0.000    0.000    0.000 ccode.py:652(C99CodePrinter)
        1    0.000    0.000    0.000    0.000 ccode.py:725(C11CodePrinter)
        1    0.000    0.000    0.000    0.000 characteristiczero.py:1(<module>)
        1    0.000    0.000    0.000    0.000 characteristiczero.py:8(CharacteristicZero)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2109(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 class_registry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 class_registry.py:17(__setattr__)
        1    0.000    0.000    0.000    0.000 class_registry.py:5(ClassRegistry)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1345(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1396(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1401(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1404(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1407(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1412(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1415(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1418(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1433(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1436(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1439(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1442(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1445(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1452(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1457(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:163(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:217(HTTPResponse)
        1    0.000    0.000    0.019    0.019 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:779(HTTPConnection)
        1    0.000    0.000    0.000    0.000 cm.py:185(ScalarMappable)
        1    0.000    0.000    0.006    0.006 cm.py:19(<module>)
       33    0.000    0.000    0.000    0.000 cm.py:40(_reverser)
       31    0.000    0.000    0.000    0.000 cm.py:48(revcmap)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
       75    0.000    0.000    0.000    0.000 cm.py:65(_reverse_cmap_spec)
        2    0.000    0.000    0.000    0.000 cm.py:77(<listcomp>)
      150    0.000    0.000    0.005    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.000    0.000 cm.py:99(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cmd.py:43(<module>)
        1    0.000    0.000    0.000    0.000 cmd.py:52(Cmd)
        1    0.000    0.000    0.000    0.000 code.py:15(InteractiveInterpreter)
        1    0.000    0.000    0.000    0.000 code.py:162(InteractiveConsole)
        1    0.000    0.000    0.000    0.000 code.py:3(<module>)
       29    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       29    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       97    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 codeop.py:124(Compile)
        1    0.000    0.000    0.000    0.000 codeop.py:139(CommandCompiler)
        1    0.000    0.000    0.000    0.000 codeop.py:57(<module>)
        1    0.000    0.000    0.000    0.000 codeop.py:61(<listcomp>)
        1    0.000    0.000    0.005    0.005 codeprinter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codeprinter.py:19(requires)
        5    0.000    0.000    0.000    0.000 codeprinter.py:21(__init__)
        5    0.000    0.000    0.000    0.000 codeprinter.py:24(__call__)
        1    0.000    0.000    0.000    0.000 codeprinter.py:32(AssignmentError)
        1    0.000    0.000    0.000    0.000 codeprinter.py:39(CodePrinter)
        1    0.000    0.000    0.018    0.018 collections.py:10(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1026(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1091(StarPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1098(AsteriskPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1105(LineCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1297(EventCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1544(CircleCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1564(EllipseCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1658(PatchCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1713(TriMesh)
        1    0.000    0.000    0.000    0.000 collections.py:1780(QuadMesh)
        1    0.000    0.000    0.000    0.000 collections.py:25(Collection)
        1    0.000    0.000    0.000    0.000 collections.py:837(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 collections.py:886(PathCollection)
        1    0.000    0.000    0.000    0.000 collections.py:912(PolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:979(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 colorbar.py:1058(Colorbar)
        1    0.000    0.000    0.000    0.000 colorbar.py:1485(ColorbarPatch)
        1    0.000    0.000    0.062    0.062 colorbar.py:20(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:218(_ColorbarAutoLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:248(_ColorbarAutoMinorLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:275(_ColorbarLogLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:307(ColorbarBase)
        1    0.000    0.000    0.000    0.000 colors.py:1068(SymLogNorm)
     1536    0.001    0.000    0.002    0.000 colors.py:116(_is_nth_color)
        1    0.000    0.000    0.000    0.000 colors.py:1186(PowerNorm)
      491    0.000    0.000    0.003    0.000 colors.py:121(is_color_like)
        1    0.000    0.000    0.000    0.000 colors.py:1252(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1338(NoNorm)
     1045    0.001    0.000    0.005    0.000 colors.py:150(to_rgba)
        1    0.000    0.000    0.000    0.000 colors.py:1510(LightSource)
      373    0.001    0.000    0.003    0.000 colors.py:184(_to_rgba_no_colorcycle)
      432    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
     1260    0.000    0.000    0.000    0.000 colors.py:236(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:306(ColorConverter)
        1    0.000    0.000    0.000    0.000 colors.py:427(Colormap)
      164    0.000    0.000    0.000    0.000 colors.py:439(__init__)
        1    0.000    0.000    0.001    0.001 colors.py:61(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:632(LinearSegmentedColormap)
      126    0.000    0.000    0.000    0.000 colors.py:639(__init__)
       64    0.001    0.000    0.005    0.000 colors.py:713(from_list)
        1    0.000    0.000    0.000    0.000 colors.py:72(_ColorMapping)
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:781(ListedColormap)
       38    0.000    0.000    0.000    0.000 colors.py:788(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:870(Normalize)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:94(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:997(LogNorm)
        1    0.000    0.000    0.000    0.000 colorsys.py:17(<module>)
        1    0.000    0.000    0.000    0.000 combsimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:1482(MatrixOperations)
        1    0.000    0.000    0.000    0.000 common.py:1893(MatrixArithmetic)
        1    0.000    0.000    0.000    0.000 common.py:2153(MatrixCommon)
        1    0.000    0.000    0.000    0.000 common.py:2160(_MinimalMatrix)
        1    0.000    0.000    0.000    0.000 common.py:2259(_MatrixWrapper)
        1    0.000    0.000    0.000    0.000 common.py:29(MatrixError)
        1    0.000    0.000    0.000    0.000 common.py:33(ShapeError)
        1    0.000    0.000    0.000    0.000 common.py:38(NonSquareMatrixError)
        1    0.000    0.000    0.000    0.000 common.py:42(MatrixRequired)
        1    0.000    0.000    0.000    0.000 common.py:5(<module>)
        1    0.000    0.000    0.000    0.000 common.py:610(MatrixSpecial)
        1    0.000    0.000    0.000    0.000 common.py:72(MatrixShaping)
        1    0.000    0.000    0.000    0.000 common.py:903(MatrixProperties)
        1    0.000    0.000    0.000    0.000 commondialog.py:11(<module>)
        1    0.000    0.000    0.000    0.000 commondialog.py:13(Dialog)
        1    0.000    0.000    0.000    0.000 compatibility.py:1(<module>)
       52    0.000    0.000    0.001    0.000 compatibility.py:180(with_metaclass)
       52    0.000    0.000    0.000    0.000 compatibility.py:219(metaclass)
       52    0.000    0.000    0.004    0.000 compatibility.py:220(__new__)
        1    0.000    0.000    0.000    0.000 compatibility.py:224(IPolys)
        1    0.000    0.000    0.000    0.000 compatibility.py:230(NotIterable)
       84    0.000    0.000    0.000    0.000 compatibility.py:238(iterable)
      216    0.000    0.000    0.000    0.000 compatibility.py:296(is_sequence)
      139    0.000    0.000    0.000    0.000 compatibility.py:348(as_int)
    66/33    0.000    0.000    0.001    0.000 compatibility.py:381(default_sort_key)
        1    0.000    0.000    0.001    0.001 compatibility.py:5(<module>)
       33    0.000    0.000    0.000    0.000 compatibility.py:543(_nodes)
   151/53    0.000    0.000    0.002    0.000 compatibility.py:562(ordered)
        1    0.000    0.000    0.000    0.000 compatibility.py:683(_getenv)
        1    0.000    0.000    0.000    0.000 compatibility.py:737(_HashedSeq)
        1    0.000    0.000    0.012    0.012 complexes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 complexes.py:121(im)
        1    0.000    0.000    0.000    0.000 complexes.py:22(re)
        1    0.000    0.000    0.000    0.000 complexes.py:230(sign)
        1    0.000    0.000    0.000    0.000 complexes.py:385(Abs)
        1    0.000    0.000    0.000    0.000 complexes.py:599(arg)
        1    0.000    0.000    0.000    0.000 complexes.py:652(conjugate)
        1    0.000    0.000    0.000    0.000 complexes.py:709(transpose)
        1    0.000    0.000    0.000    0.000 complexes.py:730(adjoint)
        1    0.000    0.000    0.000    0.000 complexes.py:774(polar_lift)
        1    0.000    0.000    0.000    0.000 complexes.py:848(periodic_argument)
        1    0.000    0.000    0.000    0.000 complexes.py:940(principal_branch)
        1    0.000    0.000    0.000    0.000 complexfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 complexfield.py:14(ComplexField)
        1    0.000    0.000    0.000    0.000 complexfield.py:46(__init__)
        1    0.000    0.000    0.000    0.000 compositedomain.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compositedomain.py:10(CompositeDomain)
        1    0.000    0.000    0.000    0.000 conditionset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conditionset.py:19(ConditionSet)
        1    0.000    0.000    0.000    0.000 conflict.py:1(<module>)
     1904    0.002    0.000    0.003    0.000 conflict.py:12(consistent)
     4019    0.001    0.000    0.001    0.000 conflict.py:15(<genexpr>)
     1904    0.000    0.000    0.004    0.000 conflict.py:19(ambiguous)
       34    0.000    0.000    0.005    0.000 conflict.py:24(ambiguities)
       34    0.001    0.000    0.005    0.000 conflict.py:27(<listcomp>)
        1    0.000    0.000    0.000    0.000 conflict.py:3(AmbiguityWarning)
     4130    0.001    0.000    0.004    0.000 conflict.py:43(edge)
       34    0.000    0.000    0.006    0.000 conflict.py:56(ordering)
       34    0.001    0.000    0.004    0.000 conflict.py:62(<listcomp>)
      121    0.000    0.000    0.000    0.000 conflict.py:63(<lambda>)
      356    0.000    0.000    0.000    0.000 conflict.py:67(<genexpr>)
      322    0.000    0.000    0.000    0.000 conflict.py:67(<listcomp>)
     4747    0.002    0.000    0.003    0.000 conflict.py:7(supercedes)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        1    0.000    0.000    0.000    0.000 constructor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:103(BarContainer)
        1    0.000    0.000    0.000    0.000 container.py:128(ErrorbarContainer)
        1    0.000    0.000    0.000    0.000 container.py:160(StemContainer)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        1    0.000    0.000    0.000    0.000 containers.py:179(Dict)
        1    0.000    0.000    0.000    0.000 containers.py:20(Tuple)
        1    0.000    0.000    0.000    0.000 containers.py:272(OrderedSet)
       16    0.000    0.000    0.000    0.000 containers.py:49(__new__)
       22    0.000    0.000    0.000    0.000 containers.py:51(<genexpr>)
        9    0.000    0.000    0.000    0.000 containers.py:67(__iter__)
        1    0.000    0.000    0.000    0.000 containers.py:7(<module>)
        8    0.000    0.000    0.000    0.000 containers.py:95(__eq__)
        1    0.000    0.000    0.000    0.000 contains.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contains.py:8(Contains)
       27    0.000    0.000    0.001    0.000 contextlib.py:107(__enter__)
       27    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
       21    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       27    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
       27    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.000    0.000 continued_fraction.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:1453(QuadContourSet)
        1    0.000    0.000    0.028    0.028 contour.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:37(ClabelText)
        1    0.000    0.000    0.000    0.000 contour.py:52(ContourLabeler)
        1    0.000    0.000    0.000    0.000 contour.py:738(ContourSet)
        1    0.000    0.000    0.000    0.000 conventions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 convolutions.py:4(<module>)
      429    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
      429    0.001    0.000    0.004    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
      429    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        4    0.000    0.000    0.001    0.000 core.py:1(<module>)
        2    0.000    0.000    0.000    0.000 core.py:101(__gt__)
        1    0.000    0.000    0.000    0.000 core.py:1124(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1145(__init__)
        1    0.000    0.000    0.011    0.011 core.py:12(<module>)
        4    0.000    0.000    0.000    0.000 core.py:126(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1283(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1362(getmask)
       44    0.000    0.000    0.001    0.000 core.py:149(get_object_signature)
        1    0.000    0.000    0.011    0.011 core.py:151(load_base_library)
        1    0.000    0.000    0.000    0.000 core.py:157(iter_user_libraries)
        1    0.000    0.000    0.000    0.000 core.py:164(update_user_library)
        1    0.000    0.000    0.000    0.000 core.py:166(MAError)
       27    0.000    0.000    0.001    0.000 core.py:172(iter_style_files)
        1    0.000    0.000    0.000    0.000 core.py:174(MaskError)
        1    0.000    0.000    0.011    0.011 core.py:182(read_style_directory)
        1    0.000    0.000    0.000    0.000 core.py:206(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:208(<listcomp>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:218(reload_library)
        1    0.000    0.000    0.000    0.000 core.py:2378(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2384(__init__)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2596(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        3    0.000    0.000    0.000    0.000 core.py:29(condition)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
        4    0.000    0.000    0.000    0.000 core.py:3350(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3366(shape)
        1    0.000    0.000    0.000    0.000 core.py:46(Registry)
       26    0.000    0.000    0.000    0.000 core.py:55(is_style_file)
       34    0.000    0.000    0.012    0.000 core.py:57(_)
       26    0.000    0.000    0.000    0.000 core.py:58(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6060(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6256(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6260(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6284(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6348(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6440(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6449(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6557(_frommethod)
       26    0.000    0.000    0.001    0.000 core.py:6568(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6573(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:68(BasicMeta)
      442    0.000    0.000    0.000    0.000 core.py:70(__init__)
        4    0.000    0.000    0.000    0.000 core.py:73(__cmp__)
       34    0.000    0.000    0.001    0.000 core.py:74(ismethod)
        1    0.000    0.000    0.000    0.000 core.py:796(_DomainCheckInterval)
       34    0.000    0.000    0.000    0.000 core.py:8(dispatch)
        4    0.000    0.000    0.000    0.000 core.py:8(exhaust)
